Latitude,Longitude,Depth
18.5822101192144,84.95627382322202,-302
18.58222283277287,84.95599921434525,-301
18.58222826518456,84.95563014313903,-299
18.5820365882435,84.95530890819983,-298
18.58184940804842,84.95510386980864,-298
18.58159496174348,84.95496169158656,-298
18.58134066247135,84.95479104019805,-298
18.58103591359895,84.95469605049506,-299
18.58076115132071,84.9545795279735,-300
18.5804547970957,84.95446101953536,-300
18.58018105506014,84.95438485965961,-301
18.57983731800794,84.95439308096293,-302
18.57956702579737,84.95447804780912,-304
18.57935798498669,84.95465740649578,-306
18.57919561101649,84.95479952000149,-307
18.57904622186197,84.95496423385839,-309
18.57888533231043,84.95524383884091,-311
18.57867406353391,84.95557046968516,-314
18.57850675431795,84.95582449939842,-315
18.57836526700697,84.95615228311864,-318
18.57834235644176,84.9566504116366,-320
18.57845497770248,84.95694953435311,-321
18.57873319810337,84.95729647201222,-322
18.57884714020969,84.95749351146041,-322
18.57906342167001,84.95773422643437,-322
18.57926329682462,84.95787657737563,-322
18.57951635601206,84.95800735636688,-322
18.57986473639473,84.95808734461626,-320
18.58005485756332,84.95812212167193,-319
18.58039142665368,84.95809854434097,-318
18.58061347954125,84.95808458653032,-317
18.58093957747252,84.95789769502701,-314
18.58111253050597,84.95777127808536,-313
18.58133524105922,84.95752882678657,-311
18.58149709228629,84.95737477383727,-310
18.58170210696812,84.95713616185957,-308
18.58184381364543,84.95680773682595,-306
18.58193584484571,84.95656679797125,-304
18.58189356864508,84.95625167191804,-303
18.58195286685851,84.95602545141217,-302
18.58200205665819,84.95572638211146,-300
18.58185876019231,84.95550562004392,-299
18.58166045657169,84.95527298078444,-299
18.58140879946822,84.95513766830824,-299
18.58121690843653,84.95501629433079,-300
18.58088622803783,84.95484747445313,-300
18.58060126998439,84.95471517669357,-301
18.58031994148895,84.95465860340337,-302
18.58009175867978,84.95461886155233,-303
18.57990265609432,84.9546184886687,-304
18.57977201583776,84.95470568819101,-305
18.57956315488796,84.95479959262653,-306
18.57941844345225,84.9549378255299,-307
18.5792615820943,84.95509370470143,-308
18.57909153366702,84.95531241971362,-310
18.57895321321173,84.9555046647532,-312
18.57881303128712,84.95570181763809,-313
18.57863908475997,84.95598731120548,-315
18.57854618600754,84.95624450968624,-317
18.57856883076749,84.95645389584226,-318
18.5785688724971,84.95675072158926,-320
18.57868752580956,84.95692114189339,-320
18.5788312315187,84.95712511029642,-320
18.57896852933391,84.95730352773083,-320
18.57907036495456,84.95751826529795,-321
18.57921921857508,84.95758171737181,-320
18.57947955278998,84.95777838614494,-321
18.57968088478253,84.95784298544174,-320
18.58000065372643,84.95790050140236,-318
18.58027445425127,84.95788072664243,-317
18.58053745817185,84.95783316764894,-316
18.58074460381933,84.95776142355284,-315
18.58095678788744,84.95760556926034,-313
18.5811757507231,84.95741796975608,-311
18.58134784985986,84.9572675742812,-309
18.58152575644766,84.95707357933698,-308
18.58163978796439,84.9568465528749,-307
18.58169737787172,84.95662423891935,-306
18.58175217913768,84.95633770507744,-304
18.5817477169584,84.9560491441774,-302
18.58177136227296,84.95588720854444,-302
18.58163628369096,84.9555840078053,-300
18.58140836802647,84.95539650186718,-301
18.58115081401674,84.95523095896742,-301
18.58095065045456,84.95512961900769,-301
18.58071710997541,84.95503137861814,-302
18.58052119687328,84.9549489594683,-302
18.58033192573923,84.9549206282684,-303
18.57999759310775,84.95490521803946,-305
18.57977336667183,84.95494168070285,-306
18.57956292719113,84.95509765712029,-307
18.57942412037145,84.95524958687031,-308
18.57926299476618,84.95543182096156,-310
18.57913996154808,84.9556130276326,-311
18.57896740020389,84.95590976307511,-314
18.57885192054775,84.95607126773594,-315
18.57877519393309,84.95627205532429,-316
18.57874453120119,84.95653388019527,-318
18.57882655258043,84.95671211893217,-318
18.57893069609202,84.95704297011302,-319
18.57915674734776,84.95722687952055,-319
18.57931448316512,84.95739270040325,-319
18.5795451448662,84.95753876762717,-319
18.57971762747728,84.95765388191845,-319
18.58003860362656,84.95763847301777,-317
18.58032886004425,84.95768987244537,-316
18.58057630822055,84.95761341317123,-315
18.58080445606424,84.95751689651604,-313
18.58100930352504,84.95725494338943,-311
18.58120445118443,84.95707482144951,-309
18.58134817280678,84.95687240332141,-308
18.58148764245266,84.9565819248838,-306
18.58157997607614,84.95632863366447,-304
18.58155377749237,84.95609931531658,-303
18.58149959523145,84.95582952573804,-303
18.58132876344151,84.95563630990966,-303
18.58104194706149,84.95546252613023,-303
18.58078071705251,84.9553226172304,-303
18.58050683404104,84.95518879889582,-304
18.58021845855822,84.95506595641874,-304
18.57999295562207,84.9550897000985,-305
18.57967579421186,84.95523957653144,-307
18.57953759961918,84.95534589853132,-308
18.57932510918055,84.95560280226933,-311
18.57916694949788,84.95592851229667,-313
18.57905544569756,84.95621721219416,-315
18.57904201949697,84.9564055318377,-316
18.57905359715665,84.95659901201472,-316
18.57911710934699,84.95679792242001,-317
18.5792351976167,84.95703777979242,-318
18.57944500985728,84.95720888199084,-318
18.57968234666452,84.95735193553415,-317
18.5799333333582,84.95746083833728,-317
18.58012481539614,84.95749284843198,-316
18.58040843944325,84.95741532256248,-314
18.58065913678061,84.95736247365825,-313
18.58087426078185,84.95714411644995,-311
18.58104409457314,84.95693141985086,-309
18.58116834346709,84.95672052998442,-308
18.58127351926237,84.9564831629485,-306
18.5813159651215,84.95616271823724,-304
18.58126988124327,84.95593229326917,-304
18.58105795037491,84.95579444088403,-304
18.58083693713854,84.95559624202912,-304
18.58056216330705,84.95547309806541,-305
18.58034950464095,84.95534698107971,-305
18.58012345822779,84.9553172310279,-306
18.57987349635322,84.9553395190438,-307
18.57969908768471,84.95547678996991,-309
18.57953342714586,84.95563416536135,-310
18.57940756558838,84.95583311411438,-311
18.57929434895625,84.95616422113608,-313
18.57922369621528,84.95641161770061,-315
18.57926772717563,84.95661359586092,-315
18.57931525691917,84.95683460331288,-316
18.57952453720628,84.95701408363803,-316
18.57969412363762,84.95713038337837,-316
18.57991642497041,84.95723019735135,-315
18.58010929354152,84.95728224478295,-315
18.58038694989183,84.95720492588828,-314
18.58054861231475,84.95715601103213,-313
18.58072868561955,84.95702269722466,-311
18.5809695685196,84.9567078956553,-309
18.58106730054745,84.95637591261652,-307
18.58102245027519,84.95603998909576,-305
18.58078012093245,84.95581479829445,-305
18.58053072137019,84.95569572633615,-306
18.58026018493094,84.95557899552819,-306
18.57996836020562,84.95558936287819,-307
18.57975018673426,84.95567641333231,-309
18.57959710964856,84.95592608364737,-311
18.57946908789571,84.95616506818699,-312
18.57944472357656,84.95638780803945,-314
18.5794472860072,84.95665155155962,-315
18.579628380624,84.95687661058791,-315
18.57976609898494,84.95696777039701,-315
18.58006001199641,84.9570666482859,-314
18.58030929872111,84.95698112815717,-313
18.58057508211951,84.95694946470324,-311
18.58080533631856,84.95675744723053,-309
18.58084193017797,84.95641115400365,-308
18.58083881799222,84.95618062368258,-306
18.58056123102946,84.95591510645882,-307
18.58025653387875,84.95580202438119,-307
18.58000761566283,84.95581487955825,-309
18.57985445981431,84.95593083094354,-310
18.57968747842139,84.95619379568964,-311
18.57959464640077,84.95646036454474,-313
18.57969673374779,84.9567384513984,-314
18.5799379048633,84.95688561554456,-314
18.58022669356956,84.95688764368037,-313
18.5804848531952,84.95678931644913,-311
18.58061152703404,84.95662101086292,-310
18.58059424915352,84.95621769594037,-308
18.58042113462533,84.95604522922396,-308
18.5801030192182,84.95598124504927,-309
18.57987006763989,84.95618732817006,-311
18.57974550550665,84.95653168974606,-313
18.5798849150565,84.95670187219967,-314
18.58004569067345,84.95675015712273,-313
18.58028186219844,84.95670552808915,-311
18.58040517488305,84.95655911667264,-310
18.58043639823822,84.95632642686164,-309
18.5802807374757,84.95613844868089,-309
18.58007042553503,84.95616090513266,-310
18.57989615018787,84.95643831425404,-312
18.58001274373698,84.95659825614055,-312
18.58021852763933,84.95658759822109,-311
18.58027875428705,84.95637476327211,-310
18.58013687123398,84.95631943671978,-310
18.58008690732348,84.9564347087412,-311
18.58215161475662,84.95661760376927,-303
18.58205537694351,84.95677934772107,-305
18.58191311753361,84.95706033819607,-307
18.58174588332587,84.95731873507877,-308
18.5816220112904,84.95750861355447,-310
18.58143398300703,84.95767599771277,-311
18.58122813831659,84.9579046499591,-313
18.58095793920548,84.95809829455763,-316
18.58061579382104,84.95824671634068,-317
18.58025081920348,84.95824217467927,-319
18.58001404326098,84.95825647289008,-320
18.57962098764538,84.95821091595452,-322
18.57926340929266,84.9580255406034,-323
18.58217339689671,84.95644728987577,-302
18.5792895275038,84.95805095083162,-323
