Latitude,Longitude,Depth
13.81237730950342,86.75167718239064,-3060
13.81059571174449,86.74476834495835,-3061
13.80835173123394,86.73956165784233,-3062
13.80599345025779,86.7349170834805,-3063
13.80287189571238,86.73234090998082,-3064
13.7994037722143,86.72926462373294,-3064
13.79421671803721,86.72695595112788,-3066
13.78606695533802,86.72601800397848,-3067
13.78144180103415,86.72537401053407,-3068
13.7773737914854,86.72476127207993,-3068
13.77328527971108,86.72453175589595,-3068
13.76859861897915,86.72503731685457,-3068
13.76399484904415,86.72573970421733,-3068
13.75857237703064,86.72783713507678,-3068
13.75346711262239,86.7310086022722,-3067
13.75046981184649,86.73487384446123,-3067
13.74703835371606,86.7381377551602,-3067
13.74485843725518,86.74243096214187,-3067
13.74323715603049,86.74647045196318,-3067
13.74107617219638,86.75373234128838,-3067
13.74028234447781,86.7580979159137,-3067
13.73990676455679,86.76507466400882,-3067
13.73988694227901,86.77235647076859,-3067
13.74101112822522,86.77567880387203,-3067
13.74176387439883,86.78070262010047,-3068
13.74383031452274,86.78723691257193,-3068
13.74621590757267,86.78957664955483,-3069
13.75116672878963,86.79263892618202,-3069
13.75533759744335,86.7946058768244,-3069
13.75918896129136,86.79559977360611,-3069
13.76489077420585,86.79679914742725,-3069
13.76981218979349,86.79699437456199,-3069
13.77613771136681,86.79708087053551,-3068
13.78132695146415,86.79585374274282,-3068
13.78688546044886,86.79301769129077,-3067
13.79122757057941,86.79030071431477,-3066
13.79669757715201,86.7857308329527,-3065
13.79844885612761,86.78439476857257,-3064
13.80194382641224,86.77846017144199,-3063
13.80292685590056,86.77583155590695,-3063
13.80583305397861,86.77043681650379,-3062
13.80704493731857,86.76532679894359,-3062
13.80797785527592,86.76020047479582,-3061
13.80748037280006,86.7539366203471,-3061
13.80771515516392,86.74963369608355,-3061
13.80632863189373,86.74427904828785,-3062
13.80373977479613,86.73885143741447,-3063
13.80174213185373,86.73620013425801,-3064
13.80011240542807,86.73318126183534,-3064
13.79759483988119,86.73140344724061,-3065
13.7936678856972,86.73044325794983,-3065
13.79082133011108,86.7296585065484,-3066
13.78829431452168,86.72900481614623,-3067
13.78439851805933,86.72844011832088,-3067
13.78074751107429,86.72738319059665,-3068
13.77721290742056,86.7271771073985,-3068
13.77310062013218,86.7275563419461,-3068
13.77014855161971,86.72766564061779,-3068
13.76555558863949,86.72784805400828,-3068
13.76190511228734,86.72876068771596,-3068
13.7587233434784,86.73110694786556,-3068
13.75639696683155,86.7327713356197,-3068
13.75433691527905,86.73456342974505,-3067
13.75201157222437,86.73723926485862,-3067
13.75043606740137,86.74018277426049,-3067
13.74814527383495,86.74325232515018,-3067
13.74681196236147,86.74575878839471,-3067
13.74514534644759,86.7504348682439,-3067
13.74442250138331,86.75275041445862,-3067
13.74300475457013,86.75788630728535,-3067
13.74265231236441,86.76246456268193,-3067
13.7427403267322,86.7669540420167,-3067
13.74269130901257,86.77118813263192,-3067
13.74357282815057,86.77523248174627,-3067
13.74410737793584,86.77790568359279,-3067
13.74482954834015,86.78104020607083,-3068
13.7474178243849,86.78559661755712,-3068
13.75057336911175,86.7881204656676,-3069
13.75377312545436,86.7899755548032,-3069
13.75768392045863,86.7917744404484,-3069
13.761024514231,86.79314558596452,-3069
13.76723836925947,86.79484399008001,-3069
13.77121383320005,86.7941830866222,-3068
13.77643804172233,86.79372637100873,-3068
13.7810448652062,86.79277200940429,-3067
13.78409689518213,86.79136317719696,-3067
13.78847753898723,86.788979242061,-3066
13.7914748064934,86.7859836532752,-3065
13.79398486159066,86.78374026531287,-3065
13.79595534367329,86.78062457417244,-3064
13.7988822713193,86.77687300595369,-3064
13.80071777639411,86.77298878221382,-3063
13.80239604890693,86.7698825734401,-3063
13.80338552502202,86.76543374394511,-3062
13.80379451612948,86.76225440062731,-3062
13.80418129538926,86.75945616986242,-3062
13.80438850132146,86.7559694173685,-3062
13.80420170716521,86.75076564016634,-3062
13.80297678531612,86.74634687879747,-3063
13.80149923453766,86.74258770865158,-3063
13.79940596630452,86.7399751739429,-3064
13.79784316796693,86.73767760410247,-3064
13.79490601974992,86.73450674977371,-3065
13.79108844161564,86.73230061401327,-3066
13.78662468946399,86.73084742310577,-3067
13.78282665547309,86.73022496439619,-3067
13.77805311551148,86.72948812969062,-3068
13.77476917668817,86.72951730193063,-3068
13.77039956402667,86.73038310832612,-3068
13.76575229791038,86.73140004131652,-3068
13.7624749265972,86.7323854469306,-3068
13.75901229345905,86.73470910565933,-3068
13.75652474159431,86.7362460311617,-3067
13.75364766112632,86.73888231597374,-3067
13.75166672228407,86.74297543721123,-3067
13.74966108911786,86.7475127991756,-3067
13.74792448413082,86.75211909251627,-3067
13.74703669355904,86.75615812946215,-3067
13.74638726758644,86.76077039643879,-3067
13.74607048060924,86.7643367665286,-3067
13.74606286838491,86.76899663047928,-3067
13.74610420618825,86.77101556840164,-3067
13.74645068802754,86.77607750123951,-3067
13.74793522193713,86.78026259622438,-3068
13.75010538619948,86.78298279961331,-3068
13.75280344940939,86.785963061878,-3068
13.75646651117036,86.78828212683202,-3069
13.76045843714702,86.7896778259101,-3069
13.76458950392506,86.79063988910106,-3068
13.7697286940803,86.79038113597942,-3068
13.77366946953074,86.79020651751784,-3068
13.77680544963133,86.78986271093152,-3067
13.78242269735304,86.78839593346535,-3067
13.78576919232,86.78744499919425,-3066
13.78877503775504,86.78494767786432,-3066
13.79161990771068,86.78153483411775,-3065
13.79354988455654,86.77873384800432,-3065
13.79623835610484,86.77344383433723,-3064
13.797485819378,86.77014218936657,-3063
13.79847313457214,86.76749940788345,-3063
13.79983108930935,86.76330033092081,-3063
13.80007197363475,86.75936664974184,-3063
13.80038840930504,86.75419694315403,-3063
13.79995005749479,86.74951683919502,-3063
13.79714781679846,86.74483783523102,-3064
13.79456505244677,86.74022697708133,-3065
13.79111374881031,86.73827520192384,-3065
13.78934133300584,86.73670447688458,-3066
13.78524175574524,86.73370106205695,-3067
13.78005378611673,86.73270232587886,-3067
13.77643454504424,86.73282166244358,-3068
13.77286651623177,86.73299708297668,-3068
13.76842770488616,86.73407835623405,-3068
13.76373443253478,86.73527980316055,-3068
13.76132507353309,86.73745928303691,-3068
13.75849979910237,86.73922069180703,-3067
13.75579251555709,86.74189020896907,-3067
13.75373351050773,86.74444586983657,-3067
13.75205311928351,86.74873356150341,-3067
13.75176537960108,86.75170140963982,-3067
13.75068123877839,86.75517982952665,-3067
13.7499135598548,86.75794559245826,-3067
13.74902828295376,86.76267280547196,-3067
13.74924528881039,86.7663441832969,-3067
13.74922021113427,86.7694923035337,-3067
13.74941957676036,86.77254154136456,-3067
13.7500649027949,86.77634923350305,-3067
13.75131141297902,86.77923940745536,-3068
13.75312510296058,86.78177229418186,-3068
13.75600231838298,86.78386804318689,-3068
13.75879701399445,86.78550885785188,-3068
13.76295919739233,86.78707377914921,-3068
13.76570758864817,86.78764988300273,-3068
13.76983378501922,86.78803637682101,-3068
13.77425449717463,86.78810494477045,-3068
13.77821139845869,86.78774864811174,-3067
13.78201396015728,86.78636866120074,-3066
13.78436065873396,86.78466644069972,-3066
13.78727427995201,86.7814880583406,-3065
13.78882106003284,86.77911283773884,-3065
13.79176512198227,86.77552456449035,-3064
13.79348330259105,86.77135182056423,-3064
13.7945817377395,86.76747780970561,-3064
13.795506706562,86.76376163262051,-3064
13.79614891462748,86.76019684305723,-3064
13.79644082753374,86.75700503022998,-3064
13.79585808002912,86.75184727947783,-3064
13.7949633604911,86.7484133057389,-3064
13.79264396138687,86.74500589794306,-3065
13.7900059221903,86.74236840855886,-3065
13.78773660956761,86.73997841089374,-3066
13.78608199248389,86.73850853381678,-3066
13.78172762473371,86.73717891106351,-3067
13.77706995751262,86.73639524777883,-3067
13.77319894263018,86.73622197594622,-3068
13.76894837662662,86.73698381304946,-3068
13.76566570750944,86.73847647444042,-3068
13.76296982387711,86.73977704174887,-3068
13.75919633068131,86.74275720367586,-3067
13.7574212439049,86.74518229003633,-3067
13.75609215045422,86.74842139386818,-3067
13.75467127981125,86.7523285956267,-3067
13.7536155297296,86.75588616534942,-3067
13.75308689704609,86.75911158659753,-3067
13.75276327046578,86.76167536630145,-3067
13.7527644868975,86.76515918986588,-3067
13.75290779835666,86.76898820971176,-3067
13.75310827124284,86.77154790174282,-3067
13.75385781954297,86.77586841431905,-3067
13.75533822230481,86.7782190947533,-3068
